# date	time	lat	lon	hdop
14:32:26	2018-12-19	51.057195	3.7388783	4.8
14:32:28	2018-12-19	51.0572017	3.738925	4.4
14:32:29	2018-12-19	51.05721	3.7389517	4.3
14:32:31	2018-12-19	51.05721	3.7389517	12.3
14:32:32	2018-12-19	51.05721	3.7389517	13.8
14:32:34	2018-12-19	51.05721	3.7389517	15.5
14:32:35	2018-12-19	51.05721	3.7389517	17.2
14:32:37	2018-12-19	51.05721	3.7389517	22
14:32:38	2018-12-19	51.0572433	3.7390767	4.8
14:32:40	2018-12-19	51.0572433	3.7391117	4.8
14:32:42	2018-12-19	51.0572417	3.7391417	4.6
14:32:44	2018-12-19	51.0572317	3.73915	4
14:32:46	2018-12-19	51.0572333	3.7391617	26.5
14:32:47	2018-12-19	51.0572333	3.7391617	9.5
14:32:48	2018-12-19	51.0572333	3.7391617	5.4
14:32:49	2018-12-19	51.0572333	3.7391617	7.9
14:32:51	2018-12-19	51.0572333	3.7391617	10.8
14:32:52	2018-12-19	51.0572333	3.7391617	11.7
14:32:54	2018-12-19	51.0572333	3.7391617	11.5
14:32:55	2018-12-19	51.0572333	3.7391617	11.4
14:32:57	2018-12-19	51.0572333	3.7391617	11.6
14:32:59	2018-12-19	51.0572333	3.7391617	12
14:33:01	2018-12-19	51.0572333	3.7391617	13.9
14:33:03	2018-12-19	51.0572333	3.7391617	18.7
14:33:04	2018-12-19	51.0572183	3.7392633	4.4
14:33:05	2018-12-19	51.057215	3.7392967	4.5
14:33:07	2018-12-19	51.05722	3.7393183	4
14:33:08	2018-12-19	51.0572183	3.7393183	3.6
14:33:10	2018-12-19	51.05722	3.7393217	21.2
14:33:13	2018-12-19	51.05722	3.7393217	3.1
14:33:15	2018-12-19	51.05722	3.7393217	5.6
14:33:16	2018-12-19	51.05722	3.7393217	6.5
14:33:18	2018-12-19	51.05722	3.7393217	5.7
14:33:19	2018-12-19	51.05722	3.7393217	6.2
14:33:21	2018-12-19	51.05722	3.7393217	7.3
14:33:22	2018-12-19	51.05722	3.7393217	8.2
14:33:23	2018-12-19	51.05722	3.7393217	7.6
14:33:25	2018-12-19	51.05722	3.7393217	8.4
14:33:26	2018-12-19	51.05722	3.7393217	7.3
